






Nebulizer Classic Blue 2016 USA Standard,PHP 950,medicalhub,New
APAP Auto CPAP machine German Quality,"PHP 47,000",medicalhub,New
SMART CCTV HOME DEVICE,PHP 699,micwin,New
Belmont photo x-ray,"PHP 205,000",aryhannequl,New
Kaeser compressor (sound proof),"PHP 293,000",aryhannequl,New
Dental chair,"PHP 680,000",aryhannequl,New
Luggie USA Smart Fold Compact Mobility Scooter 4 wheels,"PHP 160,000",medicalhub,New
LUGGIE USA electric mobility scooter,"PHP 79,000",olxph_296289777,Used
S21 Electric powered scooter Class A,"PHP 140,000",olxph_363864964,Used
Oxygen Concentrator 5 Liters standard type,"PHP 22,999",medicalhub,New
Eleaf Pico Squeeze Squonk vape Mod Kit free atomizer/battery,"PHP 1,000",olxph_925204363,Used
Aeropress Coffee Maker Brand New Original Made In USA,"PHP 2,400",baristaessentials,New
Wooden or Metal Lead Barrier Movable or Stationary,"PHP 25,000",olxph_111973131,New
Dental Chair not motorized,"PHP 5,000",fyi.neus,Used
High Quality Hospital Bed and Accessories,"PHP 17,500",olxph_486525002,New
Heavy Duty Quality 3 Crank Hospital Bed,"PHP 27,500",olxph_486525002,New
Kodak Gold 200 Color Negative 35mm film 36 shots,PHP 255,the_vintage_collective_ph,New
Lab gown laboratory gown,PHP 350,daisygane,New
Medical Oxygen Tank,"PHP 4,000",maecalaor,Used
Medline new foldable toilet safety rail,"PHP 1,000",altools,New
Portable Oxygen Concentrator 5 liters,"PHP 29,000",medicalhub,New
4 tons isuzu engine forklift high mast side shifter,"PHP 945,000",call_0939_536_4887,New
3 tons Isuzu engine forklift high mast,"PHP 850,000",call_0939_536_4887,New
3M Littmann Lightweight II S.E Stethoscope,"PHP 1,700",marlonatix,Used
Nebulizer Classic Blue 2016 USA Standard,PHP 950,medicalhub,New
APAP Auto CPAP machine German Quality,"PHP 47,000",medicalhub,New
Littmann Lightweight II S.E. Stethoscopes,"PHP 1,500",olxph_50347704,Used
Stethoscope Littman Classic II SE,"PHP 1,700",jericolcruz,Used
Littmann Cardiology Stethoscope,"PHP 3,500",olxph_188811529,Used
Wheelchair,"PHP 4,700",robertrobert339,Used
Electric SCOOTER Mobility Scooter Bnew w Wrty Can Disassemble,"PHP 49,500",grandpamobility,New
Aqua Resigen Bayer Insecticide waterbased odorless fly and mosquito control,"PHP 3,500",pestproductsph,New
Luggie USA Smart Fold Compact Mobility Scooter 4 wheels,"PHP 160,000",medicalhub,New
